omega,Overhead_Yc_real_0_0,Overhead_Yc_imag_0_0,Overhead_Yc_real_0_1,Overhead_Yc_imag_0_1,Overhead_Yc_real_0_2,Overhead_Yc_imag_0_2,Overhead_Yc_real_1_0,Overhead_Yc_imag_1_0,Overhead_Yc_real_1_1,Overhead_Yc_imag_1_1,Overhead_Yc_real_1_2,Overhead_Yc_imag_1_2,Overhead_Yc_real_2_0,Overhead_Yc_imag_2_0,Overhead_Yc_real_2_1,Overhead_Yc_imag_2_1,Overhead_Yc_real_2_2,Overhead_Yc_imag_2_2,Overhead_Tv_real_0_0,Overhead_Tv_imag_0_0,Overhead_Tv_real_0_1,Overhead_Tv_imag_0_1,Overhead_Tv_real_0_2,Overhead_Tv_imag_0_2,Overhead_Tv_real_1_0,Overhead_Tv_imag_1_0,Overhead_Tv_real_1_1,Overhead_Tv_imag_1_1,Overhead_Tv_real_1_2,Overhead_Tv_imag_1_2,Overhead_Tv_real_2_0,Overhead_Tv_imag_2_0,Overhead_Tv_real_2_1,Overhead_Tv_imag_2_1,Overhead_Tv_real_2_2,Overhead_Tv_imag_2_2,Overhead_Ti_real_0_0,Overhead_Ti_imag_0_0,Overhead_Ti_real_0_1,Overhead_Ti_imag_0_1,Overhead_Ti_real_0_2,Overhead_Ti_imag_0_2,Overhead_Ti_real_1_0,Overhead_Ti_imag_1_0,Overhead_Ti_real_1_1,Overhead_Ti_imag_1_1,Overhead_Ti_real_1_2,Overhead_Ti_imag_1_2,Overhead_Ti_real_2_0,Overhead_Ti_imag_2_0,Overhead_Ti_real_2_1,Overhead_Ti_imag_2_1,Overhead_Ti_real_2_2,Overhead_Ti_imag_2_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
6.2831853071795869e+01,2.8945964464454702e-03,2.9163583257762359e-04,-8.8162869627012648e-04,-1.0544386697926959e-04,-5.0124950406018525e-04,-2.4515241159102648e-05,-8.8162869627012529e-04,-1.0544386697926952e-04,3.1231975326967967e-03,3.4545410556630692e-04,-9.3928632577028933e-04,-1.1719693630513747e-04,-5.0124950406018492e-04,-2.4515241159102580e-05,-9.3928632577028922e-04,-1.1719693630513743e-04,2.9251409121551584e-03,2.9905693268622238e-04,-3.4682252698480420e-01,5.2934653294834655e-03,7.2023482257784888e-01,1.3877787807814457e-17,5.7494650671345915e-01,-6.1113155667056364e-03,8.4069738307012198e-01,0.0000000000000000e+00,-4.8732512178466976e-02,-1.1086574449411631e-02,5.8284793736164764e-01,-3.4694469519536142e-18,-4.1537775187408665e-01,-1.9373883135775122e-02,-6.9182121878159031e-01,1.2142146167903836e-02,5.7415958467775174e-01,-5.3122006719490480e-03,-3.7603623104571088e-01,-1.0197140335443619e-02,7.2617693775544423e-01,-1.2659362319004004e-02,6.0286865639487053e-01,-1.6304084025398085e-04,8.1294278596731495e-01,8.5511503823729202e-03,-3.9805654367502656e-02,1.3828679864711800e-02,5.4006300825055953e-01,-1.0420754194690221e-02,-4.4871179854837578e-01,9.6846124152240084e-03,-6.8692425469655605e-01,-2.7350903328421912e-03,5.8973352287724801e-01,-1.1314773604020095e-03,5.0848736825680728e-04,5.1627972189546487e-04,8.2694470793397178e-04,9.9584588263733320e-01,-3.1827312867033684e-02,9.9644113021391023e-01,-3.2334708603861242e-02,9.9333495733629096e-01,-5.1658658672264435e-02
6.5415379968575820e+01,2.8983070657003268e-03,2.8284120252943456e-04,-8.8271013704203254e-04,-9.9717173701069581e-05,-5.0085927915251424e-04,-2.1524465080816814e-05,-8.8271013704073367e-04,-9.9717173699203235e-05,3.1278260609392413e-03,3.3429486591535055e-04,-9.4057368963804090e-04,-1.1108122109933468e-04,-5.0085927915250383e-04,-2.1524465080812850e-05,-9.4057368963931061e-04,-1.1108122110116215e-04,2.9289840714737583e-03,2.8992428804286110e-04,-3.4737071028251720e-01,5.4849196239355746e-03,7.2003435033364060e-01,-2.5478866662043131e-05,5.7493071065121482e-01,-6.0268037424087324e-03,8.4069354336844393e-01,1.3894151346383055e-04,-4.8228669509709436e-02,-1.1146587931649422e-02,5.8287899931107634e-01,-1.3031486927319279e-04,-4.1493163486151324e-01,-1.9224737177830908e-02,-6.9206437032335122e-01,1.2132189999677356e-02,5.7414518942710568e-01,-5.2642401736415195e-03,-3.7648860129226808e-01,-1.0300363713879174e-02,7.2591427850913715e-01,-1.2670428066451855e-02,6.0283794186826634e-01,-2.9845748304381991e-04,8.1294291288689680e-01,8.4294695737699016e-03,-3.9228726982722173e-02,1.3873742426708668e-02,5.4011954328538847e-01,-1.0186773151178543e-02,-4.4832344995984097e-01,9.6348474564618945e-03,-6.8723664691798780e-01,-2.7068883567308100e-03,5.8970464055340255e-01,-1.2168871753162880e-03,5.0823204634498293e-04,5.1610655181217181e-04,8.2537811118327340e-04,9.9580140583950028e-01,-3.3118808229432355e-02,9.9639483497722747e-01,-3.3652378032073535e-02,9.9302352812356987e-01,-5.3667906846826000e-02
6.8105136602345354e+01,2.9018259901966207e-03,2.7437937678815644e-04,-8.8364665569384750e-04,-9.4149857353909393e-05,-5.0041770684608152e-04,-1.8619817356684602e-05,-8.8364665565264175e-04,-9.4149857296385407e-05,3.1321769761480140e-03,3.2352923041112770e-04,-9.4170289295352502e-04,-1.0513603950858811e-04,-5.0041770684576613e-04,-1.8619817356555633e-05,-9.4170289299380790e-04,-1.0513603956490736e-04,2.9326233776179912e-03,2.8113238433370491e-04,-3.4792020799154411e-01,5.6511336633891796e-03,7.1983346116114166e-01,-5.8414600431822006e-05,5.7491464921876179e-01,-5.9445528695422512e-03,8.4068908817082932e-01,2.7529683824550899e-04,-4.7723808118901666e-02,-1.1184915513617357e-02,5.8291056265170205e-01,-2.5723162919654048e-04,-4.1448534785463165e-01,-1.9059675113041713e-02,-6.9230802109304623e-01,1.2112989487319481e-02,5.7413046975335291e-01,-5.2174597850704087e-03,-3.7694168921128690e-01,-1.0383255431913901e-02,7.2565002864655870e-01,-1.2671188061680307e-02,6.0280700312543289e-01,-4.3024430860604543e-04,8.1294154213523306e-01,8.3091493601427681e-03,-3.8650954337735917e-02,1.3894379936948472e-02,5.4017704238981767e-01,-9.9589226454492395e-03,-4.4793401335533761e-01,9.5704865690946356e-03,-6.8754832680959077e-01,-2.6662862091841755e-03,5.8967540390874218e-01,-1.3001599948413247e-03,5.0799593525217802e-04,5.1594645992469738e-04,8.2380165431847297e-04,9.9575348904670147e-01,-3.4463967240374371e-02,9.9634482089956322e-01,-3.5024582629685670e-02,9.9269290937220567e-01,-5.5753671442969603e-02
7.0905490938862883e+01,2.9051672250677320e-03,2.6624351504882400e-04,-8.8444710674374276e-04,-8.8738799507435343e-05,-4.9992785917453181e-04,-1.5797858549546802e-05,-8.8444710674644210e-04,-8.8738799510117714e-05,3.1362695537540198e-03,3.1315096341047547e-04,-9.4268362651906540e-04,-9.9358310735250539e-05,-4.9992785917454591e-04,-1.5797858549582642e-05,-9.4268362651643057e-04,-9.9358310732653929e-05,2.9360735565499272e-03,2.7267446219875717e-04,-3.4846929275566196e-01,5.7923621555230065e-03,7.1963281627483244e-01,-9.8840682113063294e-05,5.7489835280213764e-01,-5.8644432791317234e-03,8.4068397712878296e-01,4.0929992752586353e-04,-4.7219585504008621e-02,-1.1201593746375449e-02,5.8294257587718656e-01,-3.8094007797971965e-04,-4.1404044080568403e-01,-1.8878479731281789e-02,-6.9255136996884581e-01,1.2084492853183040e-02,5.7411545265516739e-01,-5.1717876303975403e-03,-3.7739402042993431e-01,-1.0446015806345414e-02,7.2538506078755161e-01,-1.2661491368658382e-02,6.0277587597915561e-01,-5.5859679765973163e-04,8.1293861251757726e-01,8.1902017143354027e-03,-3.8074238641266182e-02,1.3890635702107617e-02,5.4023540770680101e-01,-9.7368608419165694e-03,-4.4754479249306200e-01,9.4913166350386793e-03,-6.8785826447877929e-01,-2.6133961302418430e-03,5.8964584668959352e-01,-1.3814263779259911e-03,5.0777710455691461e-04,5.1579792600471434e-04,8.2221391770736802e-04,9.9570182232916027e-01,-3.5864931094645253e-02,9.9629076433181007e-01,-3.6453502220592016e-02,9.9234185339143843e-01,-5.7918648926908269e-02
7.3820990546372755e+01,2.9083443699501263e-03,2.5842623689726382e-04,-8.8512000532024672e-04,-8.3480413093795235e-05,-4.9939256044835545e-04,-1.3055059996384061e-05,-8.8512000519773621e-04,-8.3480412913678205e-05,3.1401225665492263e-03,3.0315292640482888e-04,-9.4352522761467891e-04,-9.3744431666021452e-05,-4.9939256044724371e-04,-1.3055059995796735e-05,-9.4352522773436258e-04,-9.3744431842173947e-05,2.9393489151262665e-03,2.6454317139714426e-04,-3.4901631859321713e-01,5.9090358860619807e-03,7.1943305011375980e-01,-1.4672738485162207e-04,5.7488184752731908e-01,-5.7863489727846655e-03,8.4067816292147701e-01,5.4118513334661111e-04,-4.6717592628559873e-02,-1.1196823233350178e-02,5.8297499640040651e-01,-5.0164055102208151e-04,-4.1359840847310103e-01,-1.8681077717178779e-02,-6.9279364816412303e-01,1.2046726817065451e-02,5.7410016010986675e-01,-5.1271473228911152e-03,-3.7784419297553440e-01,-1.0488991435766107e-02,7.2512022679294963e-01,-1.2641275449856569e-02,6.0274458927186592e-01,-6.8372005367132993e-04,8.1293407787656180e-01,8.0726351085059836e-03,-3.7500403640738027e-02,1.3862740264446921e-02,5.4029455864929554e-01,-9.5202275687053823e-03,-4.4715705295358044e-01,9.3972523836690271e-03,-6.8816548802868416e-01,-2.5484268919573122e-03,5.8961599426847899e-01,-1.4608241552199501e-03,5.0757528953089992e-04,5.1566110216451615e-04,8.2061542949066126e-04,9.9564607267690841e-01,-3.7324039279992310e-02,9.9623231558577452e-01,-3.7941518734445519e-02,9.9196900367730301e-01,-6.0165753209425292e-02
7.6856369980520014e+01,2.9113699392913231e-03,2.5092051037797449e-04,-8.8567325199605902e-04,-7.8371185901420111e-05,-4.9881445225113431e-04,-1.0388086455112391e-05,-8.8567325207399960e-04,-7.8371186060372173e-05,3.1437533387701426e-03,2.9352820532096014e-04,-9.4423635870781203e-04,-8.8290860383252379e-05,-4.9881445225171100e-04,-1.0388086455429107e-05,-9.4423635863157690e-04,-8.8290860227441671e-05,2.9424626240299617e-03,2.5673149196403316e-04,-3.4955956296347590e-01,6.0017241276474897e-03,7.1923482618193546e-01,-2.0196988666823512e-04,5.7486516131752596e-01,-5.7101604197149596e-03,8.4067160177745448e-01,6.7114849404759092e-04,-4.6219487948643459e-02,-1.1170968010808227e-02,5.8300777512874113e-01,-6.1950731181080812e-04,-4.1316080007665446e-01,-1.8467594670838722e-02,-6.9303405190338041e-01,1.1999805209063144e-02,5.7408461835285673e-01,-5.0834724486949739e-03,-3.7829075074393026e-01,-1.0512657892390365e-02,7.2485643019194446e-01,-1.2610571887063597e-02,6.0271317718229844e-01,-8.0579321242779255e-04,8.1292791314349688e-01,7.9564871405146589e-03,-3.6931348508749372e-02,1.3811116562569285e-02,5.4035440228095322e-01,-9.3087082722665814e-03,-4.4677212217622497e-01,9.2883637688375952e-03,-6.8846899886057611e-01,-2.4716982852262459e-03,5.8958588104233856e-01,-1.5384740192727476e-03,5.0738785049998672e-04,5.1553368478340770e-04,8.1900370819995344e-04,9.9558587611101212e-01,-3.8843546861236707e-02,9.9616909448482160e-01,-3.9490927147416040e-02,9.9157295387646072e-01,-6.2497769863897726e-02
8.0016558472918234e+01,2.9142563116273624e-03,2.4371808936209959e-04,-8.8611423136031135e-04,-7.3406674265396766e-05,-4.9819561292813587e-04,-7.7933317774670903e-06,-8.8611423042537184e-04,-7.3406672784788324e-05,3.1471789973676039e-03,2.8426802001028478e-04,-9.4482516779087922e-04,-8.2993024997645687e-05,-4.9819561291606317e-04,-7.7933317732043665e-06,-9.4482516870324999e-04,-8.2993026445226119e-05,2.9454277108288520e-03,2.4923110039913159e-04,-3.5009767935967617e-01,6.0711265588898333e-03,7.1903867620643569e-01,-2.6444608268048897e-04,5.7484830657633834e-01,-5.6357392848142909e-03,8.4066423118133193e-01,7.9942545918376684e-04,-4.5726602791474599e-02,-1.1124479931645302e-02,5.8304089623596489e-01,-7.3475921355256602e-04,-4.1272889022759873e-01,-1.8238169645157037e-02,-6.9327193785863650e-01,1.1943873270326394e-02,5.7406883547298138e-01,-5.0406798138615903e-03,-3.7873254860567046e-01,-1.0517579655562742e-02,7.2459441110570200e-01,-1.2569461088902339e-02,6.0268164636265475e-01,-9.2503984192805039e-04,8.1292009621837258e-01,7.8417460306417913e-03,-3.6368596174187938e-02,1.3736278882525323e-02,5.4041490800762748e-01,-9.1019106159676167e-03,-4.4639108991023224e-01,9.1647653094102059e-03,-6.8876801336119831e-01,-2.3835520241638616e-03,5.8955550914521448e-01,-1.6145246887274158e-03,5.0721732542399539e-04,5.1541866420769689e-04,8.1738230128830514e-04,9.9552087164074032e-01,-4.0426195032582851e-02,9.9610071324606420e-01,-4.1104520792978314e-02,9.9115214140579888e-01,-6.4918025305965160e-02
8.3306687935856900e+01,2.9170135582210969e-03,2.3681312759947943e-04,-8.8644983835686731e-04,-6.8583896459027078e-05,-4.9753869606672244e-04,-5.2680156322883005e-06,-8.8644983837620536e-04,-6.8583896616002070e-05,3.1504136621169393e-03,2.7536665667489429e-04,-9.4529917366362279e-04,-7.7847922661462629e-05,-4.9753869606655656e-04,-5.2680156326390967e-06,-9.4529917364456555e-04,-7.7847922507312661e-05,2.9482547940579986e-03,2.4203615989122989e-04,-3.5062857825525129e-01,6.1182090888679264e-03,7.1884538817712262e-01,-3.3383081691622241e-04,5.7483133203358239e-01,-5.5630251150003696e-03,8.4065603638017905e-01,9.2610548204780097e-04,-4.5240908600312685e-02,-1.1058186887570095e-02,5.8307426654396821e-01,-8.4749690120172923e-04,-4.1230446567948931e-01,-1.7993499804101254e-02,-6.9350634855213167e-01,1.1879295565580816e-02,5.7405286047284976e-01,-4.9987288606071160e-03,-3.7916785349474785e-01,-1.0504602182086974e-02,7.2433527042679602e-01,-1.2518244807820652e-02,6.0265006934466114e-01,-1.0415616904126677e-03,8.1291066530425005e-01,7.7285340001053233e-03,-3.5814396247144269e-02,1.3639199052477175e-02,5.4047590397502610e-01,-8.8996507698309406e-03,-4.4601553161714480e-01,9.0269681770046694e-03,-6.8906137941017520e-01,-2.2846299421408695e-03,5.8952495514716408e-01,-1.6890515842843765e-03,5.0705508017295710e-04,5.1530747925866368e-04,8.1574132520686104e-04,9.9545056473554072e-01,-4.2073933547977727e-02,9.9602667240879572e-01,-4.2784275192759555e-02,9.9070503092874518e-01,-6.7428882579601834e-02
8.6732101296147491e+01,2.9196528239082784e-03,2.3019676900736918e-04,-8.8668628899534407e-04,-6.3897723159746497e-05,-4.9684506231023422e-04,-2.8085105663245990e-06,-8.8668628931382325e-04,-6.3897723304690612e-05,3.1534727397976681e-03,2.6681406238197842e-04,-9.4566528860859573e-04,-7.2850200196695168e-05,-4.9684506231541443e-04,-2.8085105668658577e-06,-9.4566528829821608e-04,-7.2850200056775679e-05,2.9509556002903347e-03,2.3513764471262276e-04,-3.5115126075854702e-01,6.1439239987207683e-03,7.1865536851193434e-01,-4.0991491577174743e-04,5.7481423923424058e-01,-5.4918678354044063e-03,8.4064694777767446e-01,1.0514250611337039e-03,-4.4763424524854808e-02,-1.0972777008201000e-02,5.8310789248614914e-01,-9.5795723605971751e-04,-4.1188852369441975e-01,-1.7733922629619703e-02,-6.9373679292333079e-01,1.1806329350190631e-02,5.7403668933273300e-01,-4.9575295713447237e-03,-3.7959581841940160e-01,-1.0474490482191149e-02,7.2407960360213208e-01,-1.2457146243294638e-02,6.0261843476310872e-01,-1.1555997684550314e-03,8.1289962403790050e-01,7.6168096104150089e-03,-3.5269909645203976e-02,1.3520657201139636e-02,5.4053740192447364e-01,-8.7015057128017569e-03,-4.4564631185689613e-01,8.8752798055422247e-03,-6.8934853208934610e-01,-2.1753898230891938e-03,5.8949420065803848e-01,-1.7622141680426128e-03,5.0690637187954615e-04,5.1520587023503369e-04,8.1408715566900927e-04,9.9537454814328430e-01,-4.3789914407590183e-02,9.9594652845620912e-01,-4.4533403281687090e-02,9.9022982162177109e-01,-7.0034063597862115e-02
9.0298361171640849e+01,2.9221842446438364e-03,2.2386119069311994e-04,-8.8682948888387490e-04,-5.9343597559192433e-05,-4.9611622147876112e-04,-4.1150184554133311e-07,-8.8682948843395203e-04,-5.9343597613119063e-05,3.1563703267022641e-03,2.5860144601274530e-04,-9.4593005491395770e-04,-6.7995122919657175e-05,-4.9611622147249345e-04,-4.1150184501261652e-07,-9.4593005535258221e-04,-6.7995122863359408e-05,2.9535408027902147e-03,2.2852759272320709e-04,-3.5166461506221264e-01,6.1492630646727831e-03,7.1846905636373204e-01,-4.9246009526734968e-04,5.7479704037708257e-01,-5.4221303858327657e-03,8.4063693132456119e-01,1.1756023939628046e-03,-4.4295235887386326e-02,-1.0868990867565291e-02,5.8314175133117185e-01,-1.0663578311993650e-03,-4.1148208504878742e-01,-1.7459851461177234e-02,-6.9396274241173250e-01,1.1725262916103124e-02,5.7402033651758466e-01,-4.9169986225807739e-03,-3.8001552098557484e-01,-1.0428043955844579e-02,7.2382805259066729e-01,-1.2386426552884088e-02,6.0258675483823199e-01,-1.2673789314927625e-03,8.1288700480786158e-01,7.5065443913565934e-03,-3.4736373316872828e-02,1.3381497697462807e-02,5.4059935387835789e-01,-8.5070790334670528e-03,-4.4528433706710646e-01,8.7100696505553292e-03,-6.8962886839615545e-01,-2.0563263747899133e-03,5.8946326317216258e-01,-1.8341645217277076e-03,5.0677150115074475e-04,5.1511452200764740e-04,8.1242086747117964e-04,9.9529239195228258e-01,-4.5577030657454803e-02,9.9585981411762470e-01,-4.6354855760775651e-02,9.8972466186196772e-01,-7.2737001769544646e-02
